Наименование,Дата изготовления,Срок годности до ,14.01.19,Информация,Спрятано?,_,_
Владимирский Стандарт,,,,,,,
Ветчины\Владимирская  стандарт ц/ф в/у,26.12.18,25.01.19,,,,,
Ветчины\Золотой стандарт п/а,08.01.19,07.02.19,,,,,
Ветчины\Золотой стандарт п/а 400 г,09.01.19,08.02.19,,,,,
Ветчины\Сочная п/а,07.01.19,06.02.19,,,,,
Ветчины\Сочная п/а 400 г,05.01.19,04.02.19,,,,,
Колбаса пк Салями по фински ,25.12.18,24.01.19,,,,,
Сосиски молочный оригинальные цф 480гр,25.12.18,19.01.19,,,1,,
Колбаса вареная\Ароматная стандарт п/а сетка (Вот такая),24.12.18,23.01.19,,,,,
Колбаса вареная\Вот такая из вырезки по-деревенски,07.01.19,06.02.19,,,,,
Колбаса вареная\Вот такая с грудинкой по-деревенски,10.01.19,09.02.19,,,,,
Колбаса вареная\Докторская  стандарт  п/а 1 сорт,08.01.19,07.02.19,,,,,
Колбаса вареная\Докторская  стандарт  п/а 500 г 1 сорт,08.01.19,07.02.19,,,,,
Колбаса вареная\Докторская  стандарт ц/ф 1 сорт,06.01.19,05.02.19,,,,,
Колбаса Докторская с натуральными сливками вектор,08.01.19,28.01.19,,,,,
Колбаса вареная\Докторская стандарт ВС ц/ф,08.01.19,07.02.19,,,,,
Колбаса вареная\Любительская стандарт ВС ц/ф,08.01.19,07.02.19,,,,,
Колбаса вареная\Нежная стандарт п/а сетка (Вот такая),26.12.18,25.01.19,,,,,
Колбаса вареная Русская стандарт п.а 1 сорт,10.01.19,09.02.19,,,,,
Колбаса вареная\Русская  стандарт  п/а 500 г 1 сорт,08.01.19,07.02.19,,,,,
Колбаса п/к\Боярская (газ),01.11.18,01.12.18,,,1,,
Колбаса п/к\Кремлёвская с грудинкой,06.01.19,05.02.19,,,,,
Колбаса п/к\Кремлёвская с грудинкой 450 г,23.12.18,22.01.19,,,,,
Колбаса п/к\С беконом по-деревенски п.к.,08.01.19,07.02.19,,,,,
Колбаса п/к\С беконом по-деревенски п.к.450 г,25.12.18,24.01.19,,,,,
Колбаса п.к Салями Домашняя п.к,08.01.19,07.02.19,,,,,
"Колбаса п/к\Салями ""Домашняя"" 450 г",09.01.19,08.02.19,,,,,
"Колбаса п/к\Салями ""По-Фински""",12.12.18,11.01.19,,,1,,
Колбаса п/к\Салями по-Фински п.к. 450 г,24.12.18,23.01.19,,,,,
Колбаса п.к Салями по-деревенски п.к,06.10.18,06.11.18,,нет,1,,
Колбаса п/к\Чесночная стандарт,07.01.19,06.02.19,,,,,
Колбаски\Колбаски Владимирские ц/ф 460 г,20.12.18,19.01.19,,,,,
Сардельки куриные\Горские  2 сорт (газ),15.10.18,14.11.18,,нет,1,,
Сардельки\Миньоны п/а,26.12.18,25.01.19,,,,,
Сардельки\Миньоны п/а 450 г,06.01.19,05.02.19,,,,,
Сардельки\Миньоны с сыром п/а 410 г,08.01.19,07.02.19,,,,,
Сервелаты\Владимирский в.к.,10.01.19,09.02.19,,,,,
Сервелаты\Владимирский в.к. 450 г,09.01.19,08.02.19,,,,,
Сервелаты\Городской стандарт в.к.,11.12.18,10.01.19,,,1,,
Сервелаты\Зернистый в.к.,26.12.18,25.01.19,,,,,
Сервелаты Коньячный в.к,08.01.19,07.02.19,,,,,
Сервелаты\Коньячный в.к. 450 г,25.12.18,24.01.19,,,,,
Сервелаты\Кремлевский в.к.,03.12.18,02.01.19,,,,,
Сервелаты\Кремлевский в.к. 450 г.,06.12.18,05.01.19,,,,,
Сервелаты\Суздальский в.к.,07.01.19,06.02.19,,,,,
Сосиски куриные\Горские 2 сорт (газ),16.10.18,15.11.18,,нет,1,,
Сосиски\Баварские с ветчиной ц/ф 460 г,07.01.19,01.02.19,,,,,
Сосиски\Баварские с сыром ц/ф 460 г,08.01.19,01.02.19,,,,,
Сосиски\Баварские ц/ф (газ) 460 г,08.01.19,02.02.19,,,,,
Сосиски\Ганноверские ц/ф ,09.01.19,03.02.19,,,,,
Сосиски\Из вырезки по-деревенски,05.12.18,30.12.18,,,,,
Сосиски\Из вырезки по-деревенски 480 г,07.12.18,01.01.19,,,1,,
Сосиски молочный оригинальные цф 480гр,06.12.18,31.12.18,,,1,,
Сосиски\Молочные оригинальные ц/ф (газ),03.12.18,28.12.18,,,1,,
Сосиски\Молочные стандарт п/а,19.12.18,18.01.19,,,,,
Сосиски\С молоком по-деревенски,09.01.19,03.02.19,,,,,
Сосиски С топленым молоком по-деревенски 480гр,14.11.18,09.12.18,,,1,,
Ветчина Владимирский стандарт п.а 500гр,27.12.18,26.01.19,,,,,
Сосиски\С топленым молоком по-деревенски,08.01.19,09.02.19,,,,,
ПОКОМ,,,,,,,
"Ветчина Столичная Вязанка 0,5кг",02.12.18,16.01.19,,,,,
"""Ветчина Столичная  Вязанка"" (Вареный продукт из мяса, мясной продукт (Стародворские колбасы)",28.10.18,12.12.18,,,1,,
Колбаса сервелат Пражский в.к. в.у. 350гр,27.10.18,30.11.18,,,1,,
Колбаса сервелат Пражский вк ву,19.11.18,24.12.18,,,,,
Сервелат Рижский 350гр.,30.10.18,04.12.18,,,1,,
Колбаса вк сервелат Рижский из мяса птицы кг.,19.11.18,24.12.18,,,1,,
Колбаса сервелат Австрийский,19.11.18,24.12.18,,,,,
Колбаса вк сервелат Кремлевский,01.11.18,06.12.18,,,1,,
"Ветчина ""Особая"" Нежная  2,6кг (ТМ Славница)",29.11.18,28.01.19,,,,,
Вязанка ДОКТОРСКАЯ ГОСТ  Вес.(Стародворские колб),28.11.18,28.12.18,,,,,
Колбаса Особая докторская 500гр.,23.11.18,22.01.19,,,,,
"Колбаса ""Докторская Особая"" 2 сорт (Колбасное изделие вареное из мяса птицы) (ТМ Славница)",29.11.18,29.01.19,,,,,
"Колбаса ""Молочная вязанка 1с"" вар, МП (Стародворские колбасы)",15.10.18,29.11.18,,нет,1,,
"Колбаса ""Молочная"" (Вязанка) вар 0,5кг (Стародворские колбасы)",02.12.18,16.01.19,,,,,
"Колбаса Вязанка Сервелат Столичный 0,35гр",02.12.18,01.01.19,,,,,
"Колбаса ""Русская"" вар амиф фикс.вес 0,5кг (Стародворские колбасы)",26.09.18,20.11.18,,,1,,
"Колбаса ""Сервелат Зернистый"" в/к фиброуз вак (Стародвор. колбасы)",16.10.18,21.11.18,,,1,,
"Колбаса ""Фирменная"" Докторская по-старод амиф вар 0,5кг (Старод колб)",23.09.18,17.11.18,,,1,,
